total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,algorithm,seed,mean_delay_seconds,travel_time_proxy_seconds,mean_queue,duration_seconds,scenario,episode,policy_label
59,4,317,14.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,14,1.634069,121.634069,0.863333,600,scenario1_low_demand,7,Semi-Coordinated - Full RL
52,4,286,13.0,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,15,1.622378,121.622378,0.773333,600,scenario1_low_demand,8,Semi-Coordinated - Full RL
64,4,315,16.0,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,16,1.834921,121.834921,0.963333,600,scenario1_low_demand,9,Semi-Coordinated - Full RL
53,4,282,13.25,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,17,1.670213,121.670213,0.785,600,scenario1_low_demand,10,Semi-Coordinated - Full RL
63,4,294,15.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,18,1.714286,121.714286,0.84,600,scenario1_low_demand,11,Semi-Coordinated - Full RL
62,4,298,15.5,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,19,1.728188,121.728188,0.858333,600,scenario1_low_demand,12,Semi-Coordinated - Full RL
60,4,359,15.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,20,1.693593,121.693593,1.013333,600,scenario1_low_demand,13,Semi-Coordinated - Full RL
56,4,307,14.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,21,1.859935,121.859935,0.951667,600,scenario1_low_demand,14,Semi-Coordinated - Full RL
63,4,319,15.75,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,22,1.821317,121.821317,0.968333,600,scenario1_low_demand,15,Semi-Coordinated - Full RL
48,4,318,12.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,23,1.694969,121.694969,0.898333,600,scenario1_low_demand,16,Semi-Coordinated - Full RL
59,4,301,14.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,24,1.820598,121.820598,0.913333,600,scenario1_low_demand,17,Semi-Coordinated - Full RL
56,4,326,14.0,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,25,1.592025,121.592025,0.865,600,scenario1_low_demand,18,Semi-Coordinated - Full RL
55,4,322,13.75,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,26,1.835404,121.835404,0.985,600,scenario1_low_demand,19,Semi-Coordinated - Full RL
58,4,302,14.5,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,27,1.599338,121.599338,0.805,600,scenario1_low_demand,20,Semi-Coordinated - Full RL
50,4,312,12.5,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,28,1.544872,121.544872,0.803333,600,scenario1_low_demand,21,Semi-Coordinated - Full RL
63,4,313,15.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,29,1.56869,121.56869,0.818333,600,scenario1_low_demand,22,Semi-Coordinated - Full RL
55,4,313,13.75,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,30,1.811502,121.811502,0.945,600,scenario1_low_demand,23,Semi-Coordinated - Full RL
54,4,290,13.5,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,31,2.006897,122.006897,0.97,600,scenario1_low_demand,24,Semi-Coordinated - Full RL
58,4,312,14.5,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,32,1.810897,121.810897,0.941667,600,scenario1_low_demand,25,Semi-Coordinated - Full RL
55,4,286,13.75,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,33,1.958042,121.958042,0.933333,600,scenario1_low_demand,26,Semi-Coordinated - Full RL
46,4,296,11.5,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,34,1.800676,121.800676,0.888333,600,scenario1_low_demand,27,Semi-Coordinated - Full RL
10,4,248,2.5,,307.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,35,80.173387,200.173387,33.138333,600,scenario1_low_demand,28,Semi-Coordinated - Full RL
57,4,310,14.25,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,36,1.874194,121.874194,0.968333,600,scenario1_low_demand,29,Semi-Coordinated - Full RL
44,4,298,11.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,37,2.026846,122.026846,1.006667,600,scenario1_low_demand,30,Semi-Coordinated - Full RL
60,4,303,15.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,38,1.719472,121.719472,0.868333,600,scenario1_low_demand,31,Semi-Coordinated - Full RL
63,4,343,15.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,39,1.816327,121.816327,1.038333,600,scenario1_low_demand,32,Semi-Coordinated - Full RL
51,4,325,12.75,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,40,1.803077,121.803077,0.976667,600,scenario1_low_demand,33,Semi-Coordinated - Full RL
57,4,312,14.25,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,41,2.009615,122.009615,1.045,600,scenario1_low_demand,34,Semi-Coordinated - Full RL
41,4,291,10.25,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,42,2.013746,122.013746,0.976667,600,scenario1_low_demand,35,Semi-Coordinated - Full RL
55,4,318,13.75,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,43,1.858491,121.858491,0.985,600,scenario1_low_demand,36,Semi-Coordinated - Full RL
57,4,330,14.25,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,44,1.751515,121.751515,0.963333,600,scenario1_low_demand,37,Semi-Coordinated - Full RL
49,4,307,12.25,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,45,1.941368,121.941368,0.993333,600,scenario1_low_demand,38,Semi-Coordinated - Full RL
55,4,330,13.75,,120.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,46,1.921212,121.921212,1.056667,600,scenario1_low_demand,39,Semi-Coordinated - Full RL
59,4,305,14.75,,125.0,semi_coordinated_full_rl,Semi-Coordinated - Full RL,47,2.396721,122.396721,1.218333,600,scenario1_low_demand,40,Semi-Coordinated - Full RL
53,4,293,13.25,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,48,1.972696,121.972696,0.963333,600,scenario1_low_demand,41,Semi-Coordinated - Full RL
60,4,334,15.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,49,1.946108,121.946108,1.083333,600,scenario1_low_demand,42,Semi-Coordinated - Full RL
52,4,281,13.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,50,1.97153,121.97153,0.923333,600,scenario1_low_demand,43,Semi-Coordinated - Full RL
48,4,300,12.0,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,51,1.896667,121.896667,0.948333,600,scenario1_low_demand,44,Semi-Coordinated - Full RL
42,4,306,10.5,,122.5,semi_coordinated_full_rl,Semi-Coordinated - Full RL,52,1.986928,121.986928,1.013333,600,scenario1_low_demand,45,Semi-Coordinated - Full RL
